Time,X,Y,Z,Height,Temper,Laser Power,Powder Gas,Coaxial Gas,Shield Gas,Feeder1,Feeder2,Feeder3
12_15:22:56.727,64.780,2.000,2.250,0.238,1320.200,456.000,3.000,9.001,0.195,477,0,0
12_15:22:57.015,69.028,2.000,2.250,0.227,1389.700,464.000,3.004,9.003,0.196,470,0,0
12_15:22:57.315,73.173,2.000,2.250,0.208,1451.400,479.000,3.003,9.003,0.201,483,0,0
12_15:22:57.633,77.604,2.000,2.250,0.316,1368.700,390.000,3.001,9.004,0.199,483,0,0
12_15:22:57.922,77.426,2.500,2.250,0.229,1377.500,463.000,3.001,8.996,0.201,479,0,0
12_15:22:58.233,73.294,2.500,2.250,0.228,1412.700,460.000,3.000,9.003,0.199,480,0,0
12_15:22:58.492,69.349,2.500,2.250,0.247,1423.000,450.000,3.002,9.004,0.196,469,0,0
12_15:22:58.771,65.379,2.500,2.250,0.263,1463.900,436.000,3.003,8.998,0.200,483,0,0
12_15:22:59.071,61.309,2.500,2.250,0.269,1406.800,434.000,3.001,8.992,0.196,475,0,0
12_15:22:59.406,57.043,2.500,2.250,0.198,1378.300,500.000,3.003,9.000,0.200,533,0,0
12_15:22:59.677,52.546,2.500,2.250,0.218,1376.000,470.000,3.004,9.000,0.196,435,0,0
12_15:22:59.980,48.461,2.500,2.250,0.314,1408.000,391.000,2.999,9.003,0.193,477,0,0
12_15:23:00.297,44.418,2.500,2.250,0.220,1352.600,468.000,3.002,9.001,0.200,488,0,0
12_15:23:00.535,40.383,2.500,2.250,0.242,1346.300,454.000,3.000,9.000,0.200,478,0,0
12_15:23:00.836,36.328,2.500,2.250,0.200,1364.200,496.000,3.001,9.004,0.199,477,0,0
12_15:23:01.138,32.063,2.500,2.250,0.255,1343.400,444.000,3.003,9.003,0.198,476,0,0
12_15:23:01.441,27.538,2.500,2.250,0.251,1350.500,447.000,3.000,9.006,0.201,479,0,0
12_15:23:01.744,23.473,2.500,2.250,0.261,1444.100,439.000,3.000,9.001,0.193,485,0,0
12_15:23:02.017,19.418,2.500,2.250,0.251,1368.000,447.000,3.001,9.001,0.199,478,0,0
12_15:23:02.316,15.268,2.500,2.250,0.238,1478.100,456.000,3.005,9.001,0.201,482,0,0
12_15:23:02.619,11.063,2.500,2.250,0.219,1371.400,470.000,3.003,9.004,0.198,477,0,0
12_15:23:02.906,7.036,2.500,2.250,0.227,1386.700,463.000,3.003,9.008,0.199,476,0,0
12_15:23:03.176,2.964,2.500,2.250,0.341,1352.800,355.000,3.000,8.998,0.200,479,0,0
12_15:23:03.478,1.799,3.000,2.250,0.264,1401.800,436.000,3.005,9.005,0.198,485,0,0
12_15:23:03.763,5.848,3.000,2.250,0.191,1350.700,490.000,3.000,9.001,0.199,478,0,0
12_15:23:04.067,10.360,3.000,2.250,0.257,1414.400,442.000,3.001,8.995,0.195,482,0,0
12_15:23:04.369,14.416,3.000,2.250,0.266,1392.500,434.000,3.000,9.004,0.199,473,0,0
12_15:23:04.657,18.718,3.000,2.250,0.232,1356.600,460.000,3.003,8.999,0.196,482,0,0
12_15:23:04.991,23.287,3.000,2.250,0.255,1327.500,444.000,3.006,9.001,0.199,537,0,0
12_15:23:05.283,27.544,3.000,2.250,0.250,1352.200,447.000,3.001,9.006,0.199,429,0,0
12_15:23:05.581,31.679,3.000,2.250,0.233,1384.700,459.000,3.005,9.007,0.197,471,0,0
12_15:23:05.884,35.886,3.000,2.250,0.198,1373.400,500.000,2.999,9.002,0.196,483,0,0
12_15:23:06.172,40.179,3.000,2.250,0.256,1402.600,443.000,3.002,8.996,0.200,480,0,0
12_15:23:06.459,44.251,3.000,2.250,0.201,1391.000,495.000,3.001,9.010,0.201,478,0,0
12_15:23:06.762,48.306,3.000,2.250,0.249,1337.900,447.000,3.000,9.003,0.194,482,0,0
12_15:23:07.065,52.826,3.000,2.250,0.237,1389.100,457.000,3.001,8.997,0.196,485,0,0
12_15:23:07.350,56.878,3.000,2.250,0.256,1344.200,443.000,2.999,9.006,0.200,477,0,0
12_15:23:07.652,60.921,3.000,2.250,0.265,1411.100,434.000,3.003,9.014,0.195,474,0,0
12_15:23:07.971,64.997,3.000,2.250,0.246,1394.400,450.000,3.002,9.004,0.195,479,0,0
12_15:23:08.226,69.032,3.000,2.250,0.226,1364.400,464.000,3.003,9.008,0.194,481,0,0
12_15:23:08.528,73.342,3.000,2.250,0.232,1401.100,460.000,3.002,9.007,0.198,489,0,0
12_15:23:08.830,77.823,3.000,2.250,0.275,1362.500,428.000,3.001,8.999,0.198,468,0,0
12_15:23:09.117,77.426,3.500,2.250,0.264,1403.300,436.000,3.003,9.001,0.202,478,0,0
12_15:23:09.397,73.454,3.500,2.250,0.267,1402.800,434.000,3.003,9.005,0.198,483,0,0
12_15:23:09.673,69.433,3.500,2.250,0.288,1330.200,418.000,3.001,9.003,0.198,477,0,0
12_15:23:09.960,65.452,3.500,2.250,0.244,1425.900,451.000,3.003,9.005,0.195,482,0,0
12_15:23:10.264,61.378,3.500,2.250,0.238,1384.800,455.000,3.001,9.006,0.194,476,0,0
12_15:23:10.583,56.876,3.500,2.250,0.259,1339.500,440.000,3.001,9.010,0.203,547,0,0
12_15:23:10.885,52.568,3.500,2.250,0.202,1358.900,492.000,3.003,9.004,0.200,422,0,0
12_15:23:11.187,48.510,3.500,2.250,0.266,1331.300,434.000,3.004,9.014,0.201,473,0,0
12_15:23:11.443,44.471,3.500,2.250,0.205,1441.000,491.000,3.003,9.002,0.200,483,0,0
12_15:23:11.746,40.383,3.500,2.250,0.219,1436.300,468.000,2.999,8.998,0.196,482,0,0
12_15:23:12.051,35.881,3.500,2.250,0.242,1382.600,452.000,2.999,9.003,0.199,485,0,0
12_15:23:12.346,31.682,3.500,2.250,0.235,1378.700,458.000,2.999,8.997,0.200,473,0,0
12_15:23:12.633,27.584,3.500,2.250,0.186,1406.600,526.000,3.003,9.001,0.198,482,0,0
12_15:23:12.913,23.649,3.500,2.250,0.290,1369.500,416.000,3.002,9.009,0.199,477,0,0
12_15:23:13.206,19.475,3.500,2.250,0.217,1402.400,470.000,3.005,9.001,0.200,479,0,0
12_15:23:13.509,15.398,3.500,2.250,0.248,1386.000,448.000,3.001,8.999,0.200,481,0,0
12_15:23:13.813,11.218,3.500,2.250,0.219,1377.500,469.000,3.001,9.006,0.201,475,0,0
12_15:23:14.068,7.263,3.500,2.250,0.190,1371.500,517.000,3.001,9.007,0.201,482,0,0
12_15:23:14.370,3.216,3.500,2.250,0.309,1371.500,397.000,3.003,9.005,0.197,486,0,0
12_15:23:14.673,2.007,4.000,2.250,0.267,1436.700,435.000,3.003,9.001,0.199,472,0,0
12_15:23:14.958,6.070,4.000,2.250,0.190,1383.900,517.000,3.004,9.003,0.200,490,0,0
12_15:23:15.261,10.114,4.000,2.250,0.237,1412.900,456.000,3.000,9.004,0.197,472,0,0
12_15:23:15.578,14.173,4.000,2.250,0.238,1397.100,456.000,3.003,9.005,0.199,479,0,0
12_15:23:15.818,18.236,4.000,2.250,0.268,1361.100,433.000,3.002,9.004,0.203,484,0,0
12_15:23:16.168,22.320,4.000,2.250,0.197,1365.600,503.000,2.999,9.005,0.195,579,0,0
12_15:23:16.471,27.497,4.000,2.250,0.228,1394.000,450.000,3.001,8.997,0.197,404,0,0
12_15:23:16.773,31.568,4.000,2.250,0.238,1383.700,459.000,3.001,9.014,0.194,477,0,0
12_15:23:17.076,35.623,4.000,2.250,0.257,1387.500,459.000,3.000,9.001,0.198,479,0,0
12_15:23:17.331,39.667,4.000,2.250,0.268,1353.900,433.000,3.001,9.002,0.204,475,0,0
12_15:23:17.635,43.754,4.000,2.250,0.228,1375.500,462.000,3.002,8.996,0.197,484,0,0
12_15:23:17.938,48.279,4.000,2.250,0.211,1360.400,475.000,3.002,9.009,0.201,479,0,0
12_15:23:18.242,52.343,4.000,2.250,0.212,1421.800,474.000,3.003,9.002,0.201,481,0,0
12_15:23:18.558,56.845,4.000,2.250,0.250,1334.300,446.000,3.002,9.000,0.196,476,0,0
12_15:23:18.865,61.333,4.000,2.250,0.228,1314.200,462.000,3.000,9.009,0.199,483,0,0
12_15:23:19.146,65.378,4.000,2.250,0.268,1415.100,433.000,2.999,8.995,0.198,475,0,0
12_15:23:19.446,69.433,4.000,2.250,0.198,1342.800,499.000,3.002,9.007,0.199,475,0,0
12_15:23:19.780,73.469,4.000,2.250,0.220,1365.800,468.000,3.003,9.001,0.197,492,0,0
12_15:23:20.020,77.555,4.000,2.250,0.218,1408.800,469.000,3.002,8.993,0.198,475,0,0
12_15:23:20.337,77.241,4.500,2.250,0.225,1317.200,464.000,3.003,9.001,0.198,481,0,0
12_15:23:20.641,73.181,4.500,2.250,0.242,1360.400,440.000,3.000,9.006,0.198,474,0,0
12_15:23:20.894,69.147,4.500,2.250,0.243,1417.000,451.000,3.001,8.999,0.198,479,0,0
12_15:23:21.180,65.122,4.500,2.250,0.218,1316.100,469.000,3.001,9.005,0.194,477,0,0
12_15:23:21.461,61.153,4.500,2.250,0.251,1387.000,447.000,2.999,8.997,0.197,481,0,0
12_15:23:21.784,56.765,4.500,2.250,0.252,1373.900,445.000,3.001,9.000,0.197,539,0,0
12_15:23:22.088,52.470,4.500,2.250,0.186,1331.000,526.000,3.003,9.007,0.201,427,0,0
12_15:23:22.361,48.419,4.500,2.250,0.229,1381.200,462.000,3.003,9.001,0.197,483,0,0
12_15:23:22.647,44.322,4.500,2.250,0.270,1337.200,431.000,2.999,8.996,0.198,483,0,0
12_15:23:22.949,40.275,4.500,2.250,0.275,1394.000,429.000,3.001,9.006,0.202,475,0,0
12_15:23:23.235,36.211,4.500,2.250,0.234,1389.100,458.000,3.000,9.002,0.199,474,0,0
12_15:23:23.505,32.167,4.500,2.250,0.213,1371.800,430.000,3.004,9.003,0.191,491,0,0
12_15:23:23.807,28.089,4.500,2.250,0.262,1374.300,437.000,3.002,8.998,0.199,476,0,0
12_15:23:24.113,23.583,4.500,2.250,0.224,1440.400,465.000,3.000,9.004,0.197,482,0,0
12_15:23:24.397,19.509,4.500,2.250,0.251,1375.800,445.000,3.004,9.006,0.196,471,0,0
12_15:23:24.678,15.573,4.500,2.250,0.207,1424.300,481.000,2.998,8.998,0.203,486,0,0
12_15:23:24.963,11.557,4.500,2.250,0.255,1385.500,443.000,3.000,9.005,0.200,479,0,0
12_15:23:25.255,7.377,4.500,2.250,0.207,1417.500,484.000,3.002,9.001,0.200,481,0,0
12_15:23:25.559,3.277,4.500,2.250,0.288,1412.900,418.000,3.004,8.999,0.198,475,0,0
12_15:23:25.865,1.904,5.000,2.250,0.243,1387.700,452.000,3.002,9.006,0.201,479,0,0
12_15:23:26.159,6.162,5.000,2.250,0.264,1403.500,436.000,3.003,9.008,0.194,486,0,0
12_15:23:26.462,10.198,5.000,2.250,0.223,1382.200,466.000,3.006,8.994,0.195,480,0,0
12_15:23:26.743,14.375,5.000,2.250,0.227,1486.400,463.000,3.001,9.004,0.198,481,0,0
12_15:23:27.037,18.581,5.000,2.250,0.230,1378.900,462.000,2.998,8.999,0.199,477,0,0
12_15:23:27.385,22.962,5.000,2.250,0.259,1359.600,440.000,3.002,9.003,0.199,574,0,0
12_15:23:27.691,27.796,5.000,2.250,0.242,1395.400,453.000,3.004,8.998,0.197,405,0,0
12_15:23:27.974,31.849,5.000,2.250,0.259,1412.600,440.000,3.004,9.012,0.199,474,0,0
12_15:23:28.276,35.921,5.000,2.250,0.230,1392.300,461.000,3.001,9.001,0.195,475,0,0
12_15:23:28.593,39.954,5.000,2.250,0.211,1392.300,474.000,3.001,9.003,0.195,483,0,0
12_15:23:28.832,43.971,5.000,2.250,0.233,1392.300,459.000,3.001,9.005,0.199,483,0,0
12_15:23:29.134,48.056,5.000,2.250,0.232,1346.100,459.000,2.998,8.998,0.200,479,0,0
12_15:23:29.435,52.091,5.000,2.250,0.240,1381.800,454.000,3.000,9.001,0.200,476,0,0
12_15:23:29.706,56.230,5.000,2.250,0.234,1346.700,458.000,3.001,9.000,0.196,482,0,0
12_15:23:30.009,60.448,5.000,2.250,0.240,1368.400,454.000,3.001,9.007,0.197,477,0,0
12_15:23:30.288,64.598,5.000,2.250,0.193,1325.500,509.000,3.001,8.998,0.199,483,0,0
12_15:23:30.567,68.550,5.000,2.250,0.233,1341.200,453.000,3.001,9.001,0.200,482,0,0
12_15:23:30.870,72.638,5.000,2.250,0.226,1407.500,464.000,3.000,9.004,0.200,475,0,0
12_15:23:31.190,76.720,5.000,2.250,0.246,1424.100,450.000,3.002,8.999,0.202,486,0,0
12_15:23:31.445,78.512,5.500,2.250,0.231,1418.300,461.000,3.003,9.001,0.195,476,0,0
12_15:23:31.747,74.196,5.500,2.250,0.270,1446.000,431.000,3.001,8.999,0.201,484,0,0
12_15:23:32.050,69.702,5.500,2.250,0.206,1355.700,429.000,3.003,9.000,0.197,477,0,0
12_15:23:32.353,65.635,5.500,2.250,0.210,1441.600,476.000,3.003,9.005,0.197,476,0,0
12_15:23:32.630,61.564,5.500,2.250,0.274,1365.000,428.000,3.001,9.005,0.198,483,0,0
12_15:23:32.989,57.006,5.500,2.250,0.315,1351.600,391.000,3.002,8.999,0.199,561,0,0
12_15:23:33.290,52.351,5.500,2.250,0.226,1426.900,464.000,3.004,9.010,0.194,404,0,0
12_15:23:33.609,48.304,5.500,2.250,0.183,1355.900,531.000,3.002,9.004,0.201,482,0,0
12_15:23:33.849,44.231,5.500,2.250,0.263,1388.700,436.000,3.002,9.008,0.201,485,0,0
12_15:23:34.150,40.169,5.500,2.250,0.216,1387.800,471.000,3.005,9.000,0.197,473,0,0
12_15:23:34.452,36.098,5.500,2.250,0.250,1378.800,446.000,3.001,9.002,0.197,476,0,0
12_15:23:34.706,32.059,5.500,2.250,0.276,1339.800,428.000,3.003,9.002,0.199,486,0,0
12_15:23:35.000,28.001,5.500,2.250,0.259,1371.200,441.000,3.004,9.005,0.199,483,0,0
12_15:23:35.287,23.874,5.500,2.250,0.296,1353.300,412.000,3.001,9.009,0.199,477,0,0
12_15:23:35.593,19.717,5.500,2.250,0.236,1415.100,457.000,3.002,8.998,0.199,479,0,0
12_15:23:35.879,15.448,5.500,2.250,0.221,1365.200,467.000,3.003,9.000,0.198,477,0,0
12_15:23:36.182,11.397,5.500,2.250,0.246,1380.400,449.000,3.000,8.998,0.197,478,0,0
12_15:23:36.469,7.354,5.500,2.250,0.307,1342.400,400.000,3.000,9.001,0.200,472,0,0
12_15:23:36.739,3.288,5.500,2.250,0.321,1552.600,385.000,3.003,9.002,0.198,492,0,0
12_15:23:37.041,1.457,5.999,2.250,0.246,1414.800,450.000,3.002,9.005,0.200,473,0,0
12_15:23:37.343,5.756,6.000,2.250,0.231,1341.300,462.000,3.001,9.001,0.197,489,0,0
12_15:23:37.628,10.013,6.000,2.250,0.222,1390.500,452.000,3.001,9.010,0.195,468,0,0
12_15:23:37.932,14.093,6.000,2.250,0.249,1339.800,448.000,3.000,9.007,0.197,487,0,0
12_15:23:38.220,18.366,6.000,2.250,0.270,1423.900,432.000,3.006,9.000,0.195,472,0,0
12_15:23:38.570,22.568,6.000,2.250,0.234,1387.900,458.000,3.004,8.998,0.197,573,0,0
12_15:23:38.872,27.392,6.000,2.250,0.260,1411.000,439.000,3.002,9.005,0.200,406,0,0
12_15:23:39.173,31.908,6.000,2.250,0.237,1379.400,456.000,3.003,9.001,0.197,483,0,0
12_15:23:39.460,35.984,6.000,2.250,0.236,1409.200,457.000,3.003,9.011,0.200,476,0,0
12_15:23:39.767,40.258,6.000,2.250,0.238,1498.700,457.000,3.006,9.003,0.201,484,0,0
12_15:23:40.051,44.312,6.000,2.250,0.233,1376.000,459.000,3.002,9.010,0.198,471,0,0
12_15:23:40.354,48.407,6.000,2.250,0.245,1378.800,451.000,3.002,9.001,0.201,478,0,0
12_15:23:40.672,52.462,6.000,2.250,0.235,1338.200,458.000,2.999,9.005,0.201,489,0,0
12_15:23:40.911,56.498,6.000,2.250,0.230,1361.100,461.000,3.001,9.008,0.195,473,0,0
12_15:23:41.214,60.593,6.000,2.250,0.230,1359.700,454.000,3.001,9.006,0.197,488,0,0
12_15:23:41.517,65.133,6.000,2.250,0.245,1384.600,452.000,3.003,9.005,0.199,473,0,0
12_15:23:41.803,69.130,6.000,2.250,0.225,1388.000,465.000,3.001,9.000,0.197,474,0,0
12_15:23:42.094,73.225,6.000,2.250,0.273,1365.100,444.000,3.001,9.003,0.201,486,0,0
12_15:23:42.377,77.370,6.000,2.250,0.232,1410.200,460.000,3.001,9.000,0.198,479,0,0
12_15:23:42.680,77.934,6.500,2.250,0.252,1344.000,446.000,3.001,9.003,0.202,486,0,0
12_15:23:42.982,73.882,6.500,2.250,0.255,1383.800,443.000,3.006,8.999,0.197,475,0,0
12_15:23:43.237,69.838,6.500,2.250,0.262,1380.100,438.000,3.004,9.007,0.197,473,0,0
12_15:23:43.539,65.770,6.500,2.250,0.186,1361.200,526.000,3.000,8.997,0.199,494,0,0
12_15:23:43.841,61.493,6.500,2.250,0.263,1376.000,437.000,3.003,9.001,0.198,470,0,0
12_15:23:44.181,56.841,6.500,2.250,0.194,1383.300,508.000,3.001,9.002,0.201,525,0,0
12_15:23:44.493,52.267,6.500,2.250,0.243,1438.400,453.000,3.003,9.004,0.199,435,0,0
12_15:23:44.774,48.105,6.500,2.250,0.206,1420.700,484.000,3.000,8.997,0.198,482,0,0
12_15:23:45.064,44.069,6.500,2.250,0.255,1371.200,444.000,3.000,9.006,0.199,476,0,0
12_15:23:45.351,39.916,6.500,2.250,0.268,1399.500,433.000,3.001,8.999,0.200,479,0,0
12_15:23:45.656,35.582,6.500,2.250,0.246,1377.800,451.000,2.999,9.006,0.199,484,0,0
12_15:23:45.971,31.437,6.500,2.250,0.303,1323.500,403.000,3.002,8.999,0.193,483,0,0
12_15:23:46.258,27.493,6.500,2.250,0.269,1419.700,432.000,3.000,9.002,0.190,473,0,0
12_15:23:46.513,23.541,6.500,2.250,0.196,1356.400,504.000,3.004,9.006,0.197,481,0,0
12_15:23:46.815,19.143,6.500,2.250,0.297,1364.600,409.000,3.002,9.003,0.193,477,0,0
12_15:23:47.132,15.038,6.500,2.250,0.221,1383.900,467.000,3.002,9.003,0.198,486,0,0
12_15:23:47.435,10.593,6.500,2.250,0.194,1435.100,509.000,3.003,8.999,0.197,470,0,0
12_15:23:47.737,6.053,6.500,2.250,0.259,1439.500,440.000,3.001,9.002,0.201,491,0,0
12_15:23:48.023,2.041,6.500,2.250,0.286,1368.200,419.000,3.003,9.005,0.197,471,0,0
12_15:23:48.323,2.728,7.000,2.250,0.303,1388.700,404.000,3.001,9.004,0.197,487,0,0
12_15:23:48.624,7.199,7.000,2.250,0.220,1380.100,468.000,3.000,9.006,0.197,473,0,0
12_15:23:48.912,11.240,7.000,2.250,0.264,1383.200,436.000,3.001,8.995,0.200,475,0,0
12_15:23:49.213,15.303,7.000,2.250,0.202,1402.800,493.000,3.001,9.003,0.200,487,0,0
12_15:23:49.487,19.375,7.000,2.250,0.240,1427.000,455.000,3.001,9.001,0.201,476,0,0
12_15:23:49.771,23.476,7.000,2.250,0.267,1371.300,433.000,3.003,9.000,0.201,481,0,0
12_15:23:50.073,27.497,7.000,2.250,0.247,1330.600,450.000,3.004,9.000,0.196,483,0,0
12_15:23:50.392,31.564,7.000,2.250,0.251,1334.600,447.000,3.003,9.008,0.198,474,0,0
12_15:23:50.647,35.597,7.000,2.250,0.251,1395.000,447.000,3.002,9.000,0.197,485,0,0
12_15:23:50.948,39.887,7.000,2.250,0.235,1424.400,347.000,3.003,9.002,0.197,477,0,0
12_15:23:51.251,44.386,7.000,2.250,0.250,1389.800,448.000,2.998,9.006,0.195,482,0,0
12_15:23:51.537,48.469,7.000,2.250,0.207,1358.000,481.000,3.002,8.999,0.197,475,0,0
12_15:23:51.840,52.509,7.000,2.250,0.233,1444.300,460.000,3.003,9.006,0.200,472,0,0
12_15:23:52.110,56.577,7.000,2.250,0.221,1386.300,468.000,3.003,9.000,0.196,492,0,0
12_15:23:52.397,60.654,7.000,2.250,0.193,1334.500,468.000,2.997,9.001,0.201,473,0,0
12_15:23:52.689,64.710,7.000,2.250,0.215,1401.600,473.000,3.005,9.004,0.195,489,0,0
12_15:23:52.969,68.826,7.000,2.250,0.262,1373.400,437.000,3.002,9.002,0.200,468,0,0
12_15:23:53.257,72.823,7.000,2.250,0.262,1371.600,438.000,3.003,9.003,0.203,483,0,0
12_15:23:53.537,76.768,7.000,2.250,0.282,1452.900,424.000,3.004,9.001,0.195,484,0,0
12_15:23:53.847,78.471,7.500,2.250,0.282,1390.700,433.000,3.004,9.004,0.197,476,0,0
12_15:23:54.118,74.501,7.500,2.250,0.222,1362.900,467.000,3.004,9.001,0.199,484,0,0
12_15:23:54.420,70.221,7.500,2.250,0.215,1384.400,472.000,2.999,9.005,0.199,473,0,0
12_15:23:54.722,65.709,7.500,2.250,0.259,1348.400,440.000,3.001,9.004,0.199,483,0,0
12_15:23:55.025,61.627,7.500,2.250,0.265,1480.100,436.000,3.004,9.001,0.200,483,0,0
12_15:23:55.390,57.579,7.500,2.250,0.253,1396.500,446.000,3.004,9.001,0.200,572,0,0
12_15:23:55.629,52.867,7.500,2.250,0.222,1383.900,466.000,3.002,8.996,0.197,398,0,0
12_15:23:55.932,48.809,7.500,2.250,0.206,1416.900,483.000,3.000,8.995,0.200,475,0,0
12_15:23:56.250,44.717,7.500,2.250,0.217,1368.300,471.000,3.000,9.001,0.200,485,0,0
12_15:23:56.488,40.693,7.500,2.250,0.230,1443.900,462.000,3.004,9.006,0.196,478,0,0
12_15:23:56.776,36.654,7.500,2.250,0.258,1354.600,440.000,2.999,9.008,0.195,475,0,0
12_15:23:57.081,32.362,7.500,2.250,0.230,1312.800,462.000,3.003,9.006,0.198,484,0,0
12_15:23:57.364,28.292,7.500,2.250,0.206,1383.700,477.000,3.001,8.999,0.193,478,0,0
12_15:23:57.667,24.227,7.500,2.250,0.259,1387.400,441.000,3.005,9.004,0.202,479,0,0
12_15:23:57.987,20.141,7.500,2.250,0.266,1376.400,434.000,3.001,8.999,0.201,486,0,0
12_15:23:58.242,16.082,7.500,2.250,0.270,1431.900,431.000,3.005,9.004,0.201,470,0,0
12_15:23:58.543,11.833,7.500,2.250,0.243,1413.800,453.000,3.001,9.001,0.197,483,0,0
12_15:23:58.863,7.729,7.500,2.250,0.239,1360.900,456.000,3.004,8.999,0.198,481,0,0
12_15:23:59.117,3.713,7.500,2.250,0.255,1390.900,444.000,3.003,9.007,0.197,474,0,0
12_15:23:59.409,1.303,8.000,2.250,0.225,1370.100,464.000,3.001,9.001,0.197,485,0,0
12_15:23:59.704,5.577,8.000,2.250,0.220,1400.900,468.000,3.001,9.004,0.198,479,0,0
12_15:23:59.992,9.618,8.000,2.250,0.204,1428.900,488.000,3.001,9.001,0.197,484,0,0
12_15:24:00.282,13.711,8.000,2.250,0.232,1374.300,460.000,3.003,8.991,0.193,473,0,0
12_15:24:00.580,17.837,8.000,2.250,0.254,1379.800,445.000,3.003,9.001,0.198,486,0,0
12_15:24:00.925,22.019,8.000,2.250,0.228,1455.400,463.000,3.003,9.001,0.201,570,0,0
12_15:24:01.229,26.951,8.000,2.250,0.260,1397.400,440.000,3.002,9.000,0.197,400,0,0
12_15:24:01.532,31.433,8.000,2.250,0.227,1355.100,463.000,3.003,9.004,0.198,480,0,0
12_15:24:01.819,35.515,8.000,2.250,0.266,1368.200,436.000,3.002,8.997,0.197,473,0,0
12_15:24:02.110,39.576,8.000,2.250,0.203,1331.700,489.000,3.000,9.001,0.198,492,0,0
12_15:24:02.409,43.754,8.000,2.250,0.251,1407.300,447.000,3.004,8.993,0.195,475,0,0
12_15:24:02.712,47.968,8.000,2.250,0.246,1383.000,450.000,3.005,9.004,0.196,479,0,0
12_15:24:02.987,52.015,8.000,2.250,0.237,1496.600,456.000,3.002,9.009,0.197,478,0,0
12_15:24:03.271,56.087,8.000,2.250,0.228,1370.900,463.000,3.000,9.000,0.195,478,0,0
12_15:24:03.574,60.161,8.000,2.250,0.258,1395.100,455.000,2.999,8.995,0.197,482,0,0
12_15:24:03.860,64.182,8.000,2.250,0.199,1321.300,499.000,3.001,9.007,0.197,479,0,0
12_15:24:04.131,68.273,8.000,2.250,0.235,1411.100,458.000,3.003,9.007,0.196,477,0,0
12_15:24:04.423,72.341,8.000,2.250,0.231,1390.900,461.000,3.004,9.006,0.198,490,0,0
12_15:24:04.734,76.483,8.000,2.250,0.262,1414.000,438.000,3.005,9.008,0.199,477,0,0
12_15:24:05.006,78.853,8.499,2.250,0.273,1467.700,431.000,3.000,9.001,0.201,474,0,0
12_15:24:05.307,74.535,8.500,2.250,0.285,1384.500,421.000,3.001,9.006,0.199,481,0,0
12_15:24:05.612,70.067,8.500,2.250,0.257,1407.700,442.000,3.003,9.005,0.197,475,0,0
12_15:24:05.896,66.021,8.500,2.250,0.256,1343.800,442.000,3.001,9.003,0.196,487,0,0
12_15:24:06.199,61.963,8.500,2.250,0.280,1376.100,425.000,3.001,9.001,0.198,472,0,0
12_15:24:06.550,57.936,8.500,2.250,0.224,1367.200,466.000,3.004,9.003,0.200,578,0,0
12_15:24:06.819,53.189,8.500,2.250,0.200,1383.100,496.000,3.003,9.008,0.198,399,0,0
12_15:24:07.121,48.870,8.500,2.250,0.254,1417.100,445.000,3.007,9.006,0.201,476,0,0
12_15:24:07.423,44.418,8.500,2.250,0.190,1371.000,518.000,3.004,9.000,0.200,484,0,0
12_15:24:07.710,40.329,8.500,2.250,0.254,1384.700,444.000,3.003,8.999,0.201,474,0,0
12_15:24:08.001,36.230,8.500,2.250,0.249,1435.900,448.000,3.000,8.999,0.199,483,0,0
12_15:24:08.315,32.078,8.500,2.250,0.262,1421.900,438.000,2.997,9.006,0.198,484,0,0
12_15:24:08.586,27.914,8.500,2.250,0.243,1387.600,452.000,3.006,8.999,0.198,465,0,0
12_15:24:08.875,23.851,8.500,2.250,0.254,1397.600,445.000,3.001,9.008,0.197,493,0,0
12_15:24:09.188,19.717,8.500,2.250,0.208,1458.000,480.000,3.003,9.001,0.199,478,0,0
12_15:24:09.441,15.831,8.500,2.250,0.248,1353.200,450.000,3.003,9.001,0.201,476,0,0
12_15:24:09.744,11.712,8.500,2.250,0.300,1400.000,407.000,3.001,9.009,0.197,475,0,0
12_15:24:10.077,7.684,8.500,2.250,0.224,1426.900,465.000,3.003,9.003,0.195,492,0,0
12_15:24:10.315,3.434,8.500,2.250,0.287,1348.800,420.000,3.001,9.001,0.194,470,0,0
12_15:24:10.618,1.354,9.000,2.250,0.234,1318.000,458.000,2.995,9.005,0.191,475,0,0
12_15:24:10.904,5.379,9.000,2.250,0.248,1356.800,449.000,3.001,9.007,0.196,486,0,0
12_15:24:11.204,9.918,9.000,2.250,0.225,1381.800,465.000,3.004,9.003,0.202,484,0,0
12_15:24:11.490,13.927,9.000,2.250,0.242,1393.800,454.000,3.001,9.006,0.199,480,0,0
12_15:24:11.793,17.999,9.000,2.250,0.253,1384.000,445.000,3.006,9.001,0.195,474,0,0
12_15:24:12.158,22.750,9.000,2.250,0.249,1439.300,448.000,3.003,9.001,0.202,572,0,0
12_15:24:12.459,27.433,9.000,2.250,0.209,1415.200,477.000,3.001,8.999,0.197,400,0,0
12_15:24:12.760,31.714,9.000,2.250,0.269,1399.600,432.000,3.005,9.002,0.198,478,0,0
12_15:24:13.093,35.764,9.000,2.250,0.239,1406.000,454.000,3.000,8.993,0.197,476,0,0
12_15:24:13.332,40.016,9.000,2.250,0.249,1338.900,447.000,3.000,9.004,0.198,478,0,0
12_15:24:13.635,44.084,9.000,2.250,0.255,1437.600,444.000,3.001,9.003,0.199,484,0,0
